cpe_id_pk,cpe_version,part,vendor,product,version,update,edition,sw_edition,target_sw,target_hw,language,other,initial_cpe
593,2.3,o,redhat,enterprise_linux,3.0,,workstation,,,,,,cpe:2.3:o:redhat:enterprise_linux:3.0:*:workstation:*:*:*:*:*
594,2.3,o,redhat,enterprise_linux,3.0,,advanced_servers,,,,,,cpe:2.3:o:redhat:enterprise_linux:3.0:*:advanced_servers:*:*:*:*:*
595,2.3,a,apache,http_server,2.0.42,,,,,,,,cpe:2.3:a:apache:http_server:2.0.42:*:*:*:*:*:*:*
596,2.3,a,apache,http_server,2.0.47,,,,,,,,cpe:2.3:a:apache:http_server:2.0.47:*:*:*:*:*:*:*
597,2.3,a,apache,http_server,2.0.35,,,,,,,,cpe:2.3:a:apache:http_server:2.0.35:*:*:*:*:*:*:*
598,2.3,a,apache,http_server,2.0.37,,,,,,,,cpe:2.3:a:apache:http_server:2.0.37:*:*:*:*:*:*:*
599,2.3,a,apache,http_server,2.0.44,,,,,,,,cpe:2.3:a:apache:http_server:2.0.44:*:*:*:*:*:*:*
600,2.3,a,apache,http_server,2.0.39,,,,,,,,cpe:2.3:a:apache:http_server:2.0.39:*:*:*:*:*:*:*
601,2.3,a,apache,http_server,2.0.41,,,,,,,,cpe:2.3:a:apache:http_server:2.0.41:*:*:*:*:*:*:*
602,2.3,a,apache,http_server,2.0.38,,,,,,,,cpe:2.3:a:apache:http_server:2.0.38:*:*:*:*:*:*:*
603,2.3,a,apache,http_server,2.0.48,,,,,,,,cpe:2.3:a:apache:http_server:2.0.48:*:*:*:*:*:*:*
604,2.3,a,apache,http_server,2.0.45,,,,,,,,cpe:2.3:a:apache:http_server:2.0.45:*:*:*:*:*:*:*
605,2.3,a,apache,http_server,2.0.40,,,,,,,,cpe:2.3:a:apache:http_server:2.0.40:*:*:*:*:*:*:*
606,2.3,a,apache,http_server,2.0.36,,,,,,,,cpe:2.3:a:apache:http_server:2.0.36:*:*:*:*:*:*:*
607,2.3,a,apache,http_server,2.0.46,,,,,,,,cpe:2.3:a:apache:http_server:2.0.46:*:*:*:*:*:*:*
608,2.3,a,apache,http_server,2.0.43,,,,,,,,cpe:2.3:a:apache:http_server:2.0.43:*:*:*:*:*:*:*
609,2.3,o,openbsd,openbsd,2.0,,,,,,,,cpe:2.3:o:openbsd:openbsd:2.0:*:*:*:*:*:*:*
610,2.3,o,openbsd,openbsd,2.1,,,,,,,,cpe:2.3:o:openbsd:openbsd:2.1:*:*:*:*:*:*:*
611,2.3,o,openbsd,openbsd,2.2,,,,,,,,cpe:2.3:o:openbsd:openbsd:2.2:*:*:*:*:*:*:*
612,2.3,o,openbsd,openbsd,2.3,,,,,,,,cpe:2.3:o:openbsd:openbsd:2.3:*:*:*:*:*:*:*
613,2.3,o,openbsd,openbsd,2.4,,,,,,,,cpe:2.3:o:openbsd:openbsd:2.4:*:*:*:*:*:*:*
614,2.3,o,openbsd,openbsd,2.5,,,,,,,,cpe:2.3:o:openbsd:openbsd:2.5:*:*:*:*:*:*:*
615,2.3,o,openbsd,openbsd,2.6,,,,,,,,cpe:2.3:o:openbsd:openbsd:2.6:*:*:*:*:*:*:*
616,2.3,a,microsoft,virtual_pc,6.1,,mac,,,,,,cpe:2.3:a:microsoft:virtual_pc:6.1:*:mac:*:*:*:*:*
617,2.3,a,microsoft,virtual_pc,6.2,,mac,,,,,,cpe:2.3:a:microsoft:virtual_pc:6.2:*:mac:*:*:*:*:*
618,2.3,a,microsoft,virtual_pc,6.0,,mac,,,,,,cpe:2.3:a:microsoft:virtual_pc:6.0:*:mac:*:*:*:*:*
619,2.3,o,microsoft,windows_2000,-,,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:*:*:*:*:*:*:*
620,2.3,o,microsoft,windows_2000,-,,,ja,server,,,,cpe:2.3:o:microsoft:windows_2000:-:*:*:ja:server:*:*:*
621,2.3,o,microsoft,windows_2000,-,-,,,advanced_server,,,,cpe:2.3:o:microsoft:windows_2000:-:-:*:*:advanced_server:*:*:*
622,2.3,o,microsoft,windows_2000,-,-,,,datacenter_server,,,,cpe:2.3:o:microsoft:windows_2000:-:-:*:*:datacenter_server:*:*:*
623,2.3,o,microsoft,windows_2000,-,-,,,professional,,,,cpe:2.3:o:microsoft:windows_2000:-:-:*:*:professional:*:*:*
624,2.3,o,microsoft,windows_2000,-,-,,,server,,,,cpe:2.3:o:microsoft:windows_2000:-:-:*:*:server:*:*:*
625,2.3,o,microsoft,windows_2000,-,beta3,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:beta3:*:*:*:*:*:*
626,2.3,o,microsoft,windows_2000,-,gold,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:gold:*:*:*:*:*:*
627,2.3,o,microsoft,windows_2000,-,gold,advanced_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:gold:advanced_server:*:*:*:*:*
628,2.3,o,microsoft,windows_2000,-,gold,datacenter_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:gold:datacenter_server:*:*:*:*:*
629,2.3,o,microsoft,windows_2000,-,gold,professional,,,,,,cpe:2.3:o:microsoft:windows_2000:-:gold:professional:*:*:*:*:*
630,2.3,o,microsoft,windows_2000,-,gold,server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:gold:server:*:*:*:*:*
631,2.3,o,microsoft,windows_2000,-,rc1,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:rc1:*:*:*:*:*:*
632,2.3,o,microsoft,windows_2000,-,rc2,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:rc2:*:*:*:*:*:*
633,2.3,o,microsoft,windows_2000,-,sp1,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:*:*:*:*:*:*
