package,version,architecture
libcgi-application-plugin-config-simple-perl,1.01,all
libcgi-application-plugin-configauto-perl,1.33,all
libcgi-application-plugin-dbh-perl,4.04,all
libcgi-application-plugin-dbiprofile-perl,0.07,all
libcgi-application-plugin-debugscreen-perl,1.00,all
libcgi-application-plugin-devpopup-perl,1.08,all
libcgi-application-plugin-fillinform-perl,1.15,all
libcgi-application-plugin-formstate-perl,0.12,all
libcgi-application-plugin-forward-perl,1.06,all
libcgi-application-plugin-json-perl,1.02,all
libcgi-application-plugin-linkintegrity-perl,0.06,all
libcgi-application-plugin-logdispatch-perl,1.02,all
libcgi-application-plugin-messagestack-perl,0.34,all
libcgi-application-plugin-protectcsrf-perl,1.01,all
libcgi-application-plugin-ratelimit-perl,1.0,all
libcgi-application-plugin-requiressl-perl,0.04,all
libcgi-application-plugin-session-perl,1.05,all
libcgi-application-plugin-stream-perl,2.12,all
libcgi-application-plugin-tt-perl,1.05,all
libcgi-application-plugin-validaterm-perl,2.5,all
libcgi-application-plugin-viewcode-perl,1.02,all
libcgi-application-server-perl,0.063,all
libcgi-compile-perl,0.25,all
libcgi-compress-gzip-perl,1.03,all
libcgi-cookie-splitter-perl,0.05,all
libcgi-emulate-psgi-perl,0.23,all
libcgi-expand-perl,2.05,all
libcgi-fast-perl,2.15,all
libcgi-formalware-perl,1.16,all
libcgi-formbuilder-perl,3.10,all
libcgi-formbuilder-source-perl-perl,0.01,all
libcgi-formbuilder-source-yaml-perl,1.0.8,all
libcgi-github-webhook-perl,0.06,all
libcgi-java,0.8.1,amd64
libcgi-pm-perl,4.54,all
libcgi-psgi-perl,0.15,all
libcgi-session-driver-chi-perl,1.0.3,all
libcgi-session-driver-memcached-perl,0.04,all
libcgi-session-expiresessions-perl,1.14,all
libcgi-session-perl,4.48,all
libcgi-session-serialize-yaml-perl,4.26,all
libcgi-simple-perl,1.280,all
libcgi-ssi-parser-perl,0.01,all
libcgi-ssi-perl,0.92,all
libcgi-struct-xs-perl,1.04,amd64
libcgi-test-perl,1.111,all
libcgi-untaint-date-perl,1.00,all
libcgi-untaint-email-perl,0.03,all
libcgi-untaint-perl,1.26,all
libcgi-uploader-perl,2.18,all
libcgi-xml-perl,0.1,all
libcgi-xmlapplication-perl,1.1.5,all
libcgi-xmlform-perl,0.10,all
libcgicc-dev,3.2.19,amd64
libcgicc-doc,3.2.19,all
libcgicc3,3.2.19,amd64
libcgif-dev,0.2.0,amd64
libcgif0,0.2.0,amd64
libcglib-java-doc,3.2.12,all
libcglib-java,3.2.12,all
libcglib-nodep-java,3.2.12,all
libcglm-dev,0.8.4,amd64
libcglm-doc,0.8.4,all
libcglm0,0.8.4,amd64
libcgns-dev,3.4.0,amd64
libcgns3.4,3.4.0,amd64
libcgraph6,2.42.2,amd64
libcgraph6,2.42.2,i386
libcgreen1-dev,1.3.0,amd64
libcgreen1-doc,1.3.0,all
libcgreen1,1.3.0,amd64
libcgroup-dev,2.0,amd64
libcgroup1,2.0,amd64
libcgsi-gsoap-dev,1.3.11,amd64
libcgsi-gsoap1,1.3.11,amd64
libchado-perl,1.31,all
libchafa-dev,1.8.0,amd64
libchafa0,1.8.0,amd64
libchamplain-0.12-0,0.12.20,amd64
libchamplain-0.12-dev,0.12.20,amd64
libchamplain-doc,0.12.20,all
libchamplain-gtk-0.12-0,0.12.20,amd64
libchamplain-gtk-0.12-dev,0.12.20,amd64
libchardet-dev,1.0.4,amd64
libchardet1,1.0.4,amd64
libcharinfo-width-ocaml-dev,1.1.0,amd64
libcharinfo-width-ocaml,1.1.0,amd64
libcharls-dev,2.3.4,amd64
libcharls2,2.3.4,amd64
libcharon-extauth-plugins,5.9.5,amd64
libcharon-extra-plugins,5.9.5,amd64
libchart-clicker-perl,2.90,all
libchart-gnuplot-perl,0.23,all
libchart-perl,2.4.10ds1,all
libchart-strip-perl,1.08,all
libcharts4j-java,1.3,all
libchasen-dev,2.4.5,amd64
libchasen2,2.4.5,amd64
libchatbot-eliza-perl,1.08,all
libchealpix-dev,3.30.0,amd64
libchealpix0,3.30.0,amd64
libcheck-isa-perl,0.09,all
libchecker-framework-java,3.0.1,all
libcheese-dev,41.1,amd64
libcheese-doc,41.1,all
libcheese-gtk-dev,41.1,amd64
libcheese-gtk25,41.1,amd64
libcheese8,41.1,amd64
libchemistry-elements-perl,1.075,all
libchemistry-file-mdlmol-perl,0.24,all
libchemistry-formula-perl,3.0.1,all
libchemistry-isotope-perl,0.11,all
libchemistry-mol-perl,0.38,all
libchemistry-openbabel-perl,3.1.1,amd64
libchemistry-opensmiles-perl,0.7.0,all
libchemistry-ring-perl,0.20,all
libchemps2-3,1.8.11,amd64
libchemps2-dev,1.8.11,amd64
libcheshire-clojure,5.7.1,all
libchewing3-data,0.5.1,all
libchewing3-dev,0.5.1,amd64
libchewing3,0.5.1,amd64
libchi-driver-memcached-perl,0.16,all
libchi-driver-redis-perl,0.10,all
libchi-memoize-perl,0.07,all
libchi-perl,0.61,all
libchibi-scheme-dev,0.9.1,amd64
libchibi-scheme-ffi,0.9.1,amd64
libchibi-scheme0,0.9.1,amd64
libchicken-dev,5.2.0,amd64
libchicken11,5.2.0,amd64
libchild-perl,0.013,all
libchipcard-data,5.1.6,all
libchipcard-dev,5.1.6,amd64
libchipcard-libgwenhywfar60-plugins,5.1.6,all
libchipcard-tools,5.1.6,amd64
libchipcard6,5.1.6,amd64
libchipmunk-dev,7.0.3,amd64
libchipmunk7,7.0.3,amd64
libchise-dev,0.3.0,amd64
libchise1,0.3.0,amd64
libchm-bin,0.40a,amd64
libchm-dev,0.40a,amd64
libchm1,0.40a,amd64
libcholmod3,5.10.1,amd64
libchromaprint-dev,1.5.1,amd64
libchromaprint-dev,1.5.1,i386
libchromaprint-tools,1.5.1,amd64
libchromaprint-tools,1.5.1,i386
libchromaprint1,1.5.1,amd64
libchromaprint1,1.5.1,i386
libcib27,2.1.2,amd64
libcib27,2.1.2,i386
libcidr-dev,1.2.3,amd64
libcidr0,1.2.3,amd64
libcif-dev,0.4.2,amd64
libcif1,0.4.2,amd64
libcifpp-data,2.0.5,all
libcifpp-dev,2.0.5,amd64
libcifpp2,2.0.5,amd64
libcifti-dev,1.6.0,amd64
libcifti-doc,1.6.0,all
libcifti0,1.6.0,amd64
libciftools-java,3.0.1,all
libcifxom-java,1.5,all
libcimcclient0-dev,2.2.8,amd64
libcimcclient0,2.2.8,amd64
libcinnamon-control-center-dev,5.2.1,amd64
libcinnamon-control-center1,5.2.1,amd64
libcinnamon-desktop-dev,5.2.1,amd64
libcinnamon-desktop4,5.2.1,amd64
libcinnamon-menu-3-0,5.2.0,amd64
libcinnamon-menu-3-dev,5.2.0,amd64
libcitadel-dev,917,amd64
libcitadel4,917,amd64
libcitygml-bin,2.0.9,amd64
libcitygml-dev,2.0.9,amd64
libcitygml2,2.0.9,amd64
libcivetweb-dev,1.15,amd64
libcivetweb1,1.15,amd64
libcjose-dev,0.6.1,amd64
libcjose0,0.6.1,amd64
libcjs-dev,5.2.0,amd64
libcjs0,5.2.0,amd64
libcjson-dev,1.7.15,amd64
libcjson1,1.7.15,amd64
libck-dev,0.7.1,amd64
libck0,0.7.1,amd64
libckit-smlnj,110.79,amd64
libckyapplet1-dev,1.1.0,amd64
libckyapplet1,1.1.0,amd64
libclalsadrv-dev,2.0.0,all
libclalsadrv2,2.0.0,amd64
libclamav-client-perl,0.11,all
libclamav-dev,0.103.11,amd64
libclamav9,0.103.11,amd64
libclamunrar9,0.103.11,amd64
libclamunrar,0.103.11,all
libclanapp-1.0v5,1.0~svn3827,amd64
libclang-11-dev,11.1.0,amd64
libclang-11-dev,11.1.0,i386
libclang-12-dev,12.0.1,amd64
libclang-12-dev,12.0.1,i386
libclang-13-dev,13.0.1,amd64
libclang-13-dev,13.0.1,i386
libclang-14-dev,14.0.0,amd64
libclang-14-dev,14.0.0,i386
libclang-15-dev,15.0.7,amd64
libclang-15-dev,15.0.7,i386
libclang-common-11-dev,11.1.0,amd64
libclang-common-11-dev,11.1.0,i386
libclang-common-12-dev,12.0.1,amd64
libclang-common-12-dev,12.0.1,i386
libclang-common-13-dev,13.0.1,amd64
libclang-common-13-dev,13.0.1,i386
libclang-common-14-dev,14.0.0,amd64
libclang-common-14-dev,14.0.0,i386
libclang-common-15-dev,15.0.7,amd64
libclang-common-15-dev,15.0.7,i386
libclang-cpp-dev,14.0,amd64
libclang-cpp-dev,14.0,i386
libclang-cpp11-dev,11.1.0,amd64
libclang-cpp11-dev,11.1.0,i386
libclang-cpp11,11.1.0,amd64
libclang-cpp11,11.1.0,i386
libclang-cpp12-dev,12.0.1,amd64
libclang-cpp12-dev,12.0.1,i386
libclang-cpp12,12.0.1,amd64
libclang-cpp12,12.0.1,i386
libclang-cpp13-dev,13.0.1,amd64
libclang-cpp13-dev,13.0.1,i386
libclang-cpp13,13.0.1,amd64
libclang-cpp13,13.0.1,i386
libclang-cpp14-dev,14.0.0,amd64
libclang-cpp14-dev,14.0.0,i386
libclang-cpp14,14.0.0,amd64
libclang-cpp14,14.0.0,i386
libclang-cpp15-dev,15.0.7,amd64
libclang-cpp15-dev,15.0.7,i386
libclang-cpp15,15.0.7,amd64
libclang-cpp15,15.0.7,i386
libclang-dev,14.0,amd64
libclang-dev,14.0,i386
libclang-perl,0.09,amd64
libclang1-11,11.1.0,amd64
libclang1-11,11.1.0,i386
libclang1-12,12.0.1,amd64
libclang1-12,12.0.1,i386
libclang1-13,13.0.1,amd64
libclang1-13,13.0.1,i386
libclang1-14,14.0.0,amd64
libclang1-14,14.0.0,i386
libclang1-15,15.0.7,amd64
libclang1-15,15.0.7,i386
libclang1,14.0,amd64
libclang1,14.0,i386
libclanlib-dev,1.0~svn3827,amd64
libclansdl-1.0v5,1.0~svn3827,amd64
libclass-accessor-chained-perl,0.01.1~debian,all
libclass-accessor-children-perl,0.02,all
libclass-accessor-class-perl,0.504,all
libclass-accessor-classy-perl,0.9.1,all
libclass-accessor-grouped-perl,0.10014,all
libclass-accessor-lite-perl,0.08,all
libclass-accessor-lvalue-perl,0.11,all
libclass-accessor-named-perl,0.009,all
libclass-accessor-perl,0.51,all
libclass-adapter-perl,1.09,all
libclass-autoloadcan-perl,0.03,all
libclass-autouse-perl,2.01,all
libclass-base-perl,0.09,all
libclass-c3-adopt-next-perl,0.14,all
libclass-c3-componentised-perl,1.001002,all
libclass-c3-perl,0.35,all
libclass-c3-xs-perl,0.15,amd64
libclass-container-perl,0.13,all
libclass-contract-perl,1.14,all
libclass-csv-perl,1.03,all
libclass-data-accessor-perl,0.04004,all
libclass-data-inheritable-perl,0.08,all
libclass-date-perl,1.1.17,all
libclass-dbi-abstractsearch-perl,0.07,all
libclass-dbi-asform-perl,2.42,all
libclass-dbi-fromcgi-perl,1.00,all
libclass-dbi-fromform-perl,0.04,all
libclass-dbi-loader-perl,0.34,all
libclass-dbi-loader-relationship-perl,1.2,all
libclass-dbi-mysql-perl,1.00,all
libclass-dbi-pager-perl,0.08,all
libclass-dbi-perl,3.0.17,all
libclass-dbi-pg-perl,0.09,all
libclass-dbi-plugin-abstractcount-perl,0.08,all
libclass-dbi-plugin-pager-perl,0.566,all
libclass-dbi-plugin-perl,0.03,all
libclass-dbi-plugin-retrieveall-perl,1.04,all
libclass-dbi-plugin-type-perl,0.02,all
libclass-dbi-sqlite-perl,0.11,all
libclass-default-perl,1.51,all
libclass-delegator-perl,0.09,all
libclass-ehierarchy-perl,2.01,all
libclass-errorhandler-perl,0.04,all
libclass-factory-perl,1.06,all
libclass-factory-util-perl,1.7,all
libclass-field-perl,0.24,all
libclass-gomor-perl,1.03,all
libclass-handle-perl,1.07,all
libclass-inner-perl,0.200001,all
libclass-insideout-perl,1.14,all
libclass-inspector-perl,1.36,all
libclass-isa-perl,0.36,all
libclass-load-perl,0.25,all
libclass-load-xs-perl,0.10,amd64
libclass-loader-dev,0.5.0,amd64
libclass-loader-perl,2.03,all
libclass-loader1d,0.5.0,amd64
libclass-makemethods-perl,1.01,all
libclass-meta-perl,0.66,all
libclass-method-modifiers-perl,2.13,all
libclass-methodmaker-perl,2.24,amd64
libclass-mix-perl,0.006,all
libclass-mixinfactory-perl,0.92,all
libclass-multimethods-perl,1.701,all
libclass-objecttemplate-perl,0.7,all
libclass-ooorno-perl,0.011,all
libclass-perl,1.00,all
libclass-pluggable-perl,0.022,all
libclass-prototyped-perl,1.13,all
libclass-refresh-perl,0.07,all
libclass-returnvalue-perl,0.55,all
libclass-singleton-perl,1.6,all
libclass-spiffy-perl,0.15,all
libclass-std-fast-perl,0.0.8,all
libclass-std-perl,0.013,all
libclass-std-storable-perl,0.0.1,all
libclass-std-utils-perl,0.0.3,all
libclass-throwable-perl,0.13,all
libclass-tiny-antlers-perl,0.024,all
libclass-tiny-chained-perl,0.004,all
libclass-tiny-perl,1.008,all
libclass-trigger-perl,0.15,all
libclass-type-enum-perl,0.014,all
libclass-unload-perl,0.11,all
libclass-virtual-perl,0.08,all
libclass-whitehole-perl,0.04,all
libclass-xsaccessor-perl,1.19,amd64
libclass-xsaccessor-perl,1.19,i386
libclasslojure-clojure,0.7.1,all
libclassmate-java,1.3.4,all
libclassycle-java-doc,1.4.2,all
libclassycle-java,1.4.2,all
libclaw-application-dev,1.7.4,amd64
libclaw-application1v5,1.7.4,amd64
libclaw-configuration-file-dev,1.7.4,amd64
libclaw-configuration-file1v5,1.7.4,amd64
libclaw-dev,1.7.4,amd64
libclaw-doc,1.7.4,all
libclaw-dynamic-library-dev,1.7.4,amd64
libclaw-dynamic-library1v5,1.7.4,amd64
libclaw-graphic-dev,1.7.4,amd64
libclaw-graphic1v5,1.7.4,amd64
libclaw-i18n,1.7.4,all
libclaw-logger-dev,1.7.4,amd64
libclaw-logger1v5,1.7.4,amd64
libclaw-net-dev,1.7.4,amd64
libclaw-net1v5,1.7.4,amd64
libclaw-tween-dev,1.7.4,amd64
libclaw-tween1v5,1.7.4,amd64
libclaws-mail-dev,4.0.0,amd64
libclblas-dev,2.12,amd64
libclblas-doc,2.12,all
libclblas2,2.12,amd64
libclblast-dev,1.5.2,amd64
libclblast1,1.5.2,amd64
libclc-12-dev,12.0.1,all
libclc-12,12.0.1,all
libclc-13-dev,13.0.1,all
libclc-13,13.0.1,all
libclc-14-dev,14.0.0,all
libclc-14,14.0.0,all
libclc-15-dev,15.0.7,all
libclc-15,15.0.7,all
libclc-amdgcn,0.2.0,all
libclc-dev,0.2.0,all
libclc-ptx,0.2.0,all
libclc-r600,0.2.0,all
libcld2-0,0.0.0,amd64
libcld2-dev,0.0.0,amd64
libclearsilver-perl,0.10.5,amd64
libcleri-dev,0.12.2,amd64
libcleri0,0.12.2,amd64
libclfft-dev,2.12.2,amd64
libclfft-doc,2.12.2,all
libclfft2,2.12.2,amd64
libclhep-dev,2.1.4.1,amd64
libclhep2.1v5,2.1.4.1,amd64
libcli-dev,1.10.7,amd64
libcli-framework-perl,0.05,all
libcli-osprey-perl,0.08,all
libcli1.10,1.10.7,amd64
libcli11-dev,2.1.2,all
libcli11-doc,2.1.2,all
libclipboard-perl,0.27,all
libclipper-dev,2.1.20201109,amd64
libclipper-doc,2.1.20201109,all
libclipper2,2.1.20201109,amd64
libclips-dev,6.30,amd64
libclips,6.30,amd64
libcliquer-dev,1.21,amd64
libcliquer1,1.21,amd64
libclj-digest-clojure,1.4.9,all
libclj-http-clojure,2.3.0,all
libclj-stacktrace-clojure,0.2.7,all
libclj-time-clojure,0.15.2,all
libclj-tuple-clojure,0.2.2,all
libclj-yaml-clojure,0.7.0,all
libcljx-clojure,0.6.0,all
libcln-dev,1.3.6,amd64
libcln6,1.3.6,amd64
libclojure-java,1.10.2,all
libclojure-maven-plugin-java,1.7.1,all
libclone-choose-perl,0.010,all
libclone-perl,0.45,amd64
libclone-perl,0.45,i386
libclone-pp-perl,1.08,all
libclosure-compiler-java-doc,20130227,all
libclosure-compiler-java,20130227,all
libcloudproviders-dev,0.3.1,amd64
libcloudproviders-dev,0.3.1,i386
libcloudproviders-doc,0.3.1,all
libcloudproviders0,0.3.1,amd64
libcloudproviders0,0.3.1,i386
libclout-clojure,2.1.2,all
libclsync-dev,0.4.5,amd64
libclsync0,0.4.5,amd64
libclthreads-dev,2.4.2,amd64
libclthreads2,2.4.2,amd64
libclucene-contribs1v5,2.3.3.4,amd64
libclucene-core1v5,2.3.3.4,amd64
libclucene-dev,2.3.3.4,amd64
libclustalo-dev,1.2.4,amd64
libclustalo-doc,1.2.4,all
libclutter-1.0-0,1.26.4,amd64
libclutter-1.0-0,1.26.4,i386
libclutter-1.0-common,1.26.4,all
libclutter-1.0-dev,1.26.4,amd64
libclutter-1.0-dev,1.26.4,i386
libclutter-1.0-doc,1.26.4,all
libclutter-gst-3.0-0,3.0.27,amd64
libclutter-gst-3.0-dev,3.0.27,amd64
libclutter-gst-3.0-doc,3.0.27,all
libclutter-gtk-1.0-0,1.8.4,amd64
libclutter-gtk-1.0-dev,1.8.4,amd64
libclutter-gtk-1.0-doc,1.8.4,all
libclutter-imcontext-0.1-0-dbg,0.1.4,amd64
libclutter-imcontext-0.1-0-dbg,0.1.4,i386
libclutter-imcontext-0.1-0,0.1.4,amd64
libclutter-imcontext-0.1-0,0.1.4,i386
libclutter-imcontext-0.1-bin,0.1.4,amd64
libclutter-imcontext-0.1-bin,0.1.4,i386
libclutter-imcontext-0.1-dev,0.1.4,amd64
libclutter-imcontext-0.1-dev,0.1.4,i386
libclutter-imcontext-0.1-doc,0.1.4,all
libclxclient-dev,3.9.2,amd64
libclxclient3,3.9.2,amd64
libcm256cc-dev,1.1.0,amd64
libcm256cc1,1.1.0,amd64
libcmap-dev,3.1.6,amd64
libcmap-dev,3.1.6,i386
libcmap4,3.1.6,amd64
libcmap4,3.1.6,i386
libcmark-dev,0.30.2,amd64
libcmark-gfm-dev,0.29.0.gfm.3,amd64
libcmark-gfm-extensions-dev,0.29.0.gfm.3,amd64
libcmark-gfm-extensions0.29.0.gfm.3,0.29.0.gfm.3,amd64
libcmark-gfm0.29.0.gfm.3,0.29.0.gfm.3,amd64
libcmark0.30.2,0.30.2,amd64
libcmdliner-ocaml-dev,1.0.4,amd64
libcminpack-dev,1.3.6,amd64
libcminpack1,1.3.6,amd64
libcmis-0.5-5v5,0.5.2,amd64
libcmis-dev,0.5.2,amd64
libcml-smlnj,110.79,amd64
libcmlutil-smlnj,110.79,amd64
libcmlxom-java,4.0,all
libcmocka-dev,1.1.5,amd64
libcmocka-dev,1.1.5,i386
libcmocka0,1.1.5,amd64
libcmocka0,1.1.5,i386
libcmor-dev,3.6.1,amd64
libcmor2,3.6.1,amd64
libcmph-dev,2.0.2,amd64
libcmph-tools,2.0.2,amd64
libcmph0,2.0.2,amd64
libcmpicppimpl0-dev,2.0.3,amd64
libcmpicppimpl0,2.0.3,amd64
libcmpiosbase-common0-dev,1.6.4,amd64
libcmpiosbase-common0,1.6.4,amd64
libcmrt-dev,1.0.6,amd64
libcmrt1,1.0.6,amd64
libcmtspeechdata-dev,2.1.1,amd64
libcmtspeechdata-doc,2.1.1,all
libcmtspeechdata-utils,2.1.1,amd64
libcmtspeechdata0,2.1.1,amd64
libcneartree-dev,5.1.1,amd64
libcneartree7,5.1.1,amd64
libcoap2-bin,4.2.1,amd64
libcoap2-dev,4.2.1,amd64
libcoap2-doc,4.2.1,all
libcoap2,4.2.1,amd64
libcoap3-bin,4.3.0,amd64
libcoap3-dev,4.3.0,amd64
libcoap3-doc,4.3.0,all
libcoap3,4.3.0,amd64
libcoarrays-dev,2.9.2,amd64
libcoarrays-mpich-dev,2.9.2,amd64
libcoarrays-openmpi-dev,2.9.2,amd64
libcob4-dev,3.1.2,amd64
libcob4,3.1.2,amd64
libcob5-dev,4.0~early~20200606,amd64
libcob5,4.0~early~20200606,amd64
libcobertura-java,2.1.1,all
libcobra-java,0.98.4,all
libcod-tools-perl,3.4.0,amd64
libcoda-dev,2.23.1,amd64
libcoda-java,2.23.1,all
libcoda-jni,2.23.1,amd64
libcoda15,2.23.1,amd64
libcodcif-dev,3.4.0,amd64
libcodcif3,3.4.0,amd64
libcode-tidyall-perl,0.81~ds,all
libcode-tidyall-plugin-sortlines-naturally-perl,0.000003,all
libcode-tidyall-plugin-uniquelines-perl,0.000003,all
libcode-tidyall-plugin-yaml-perl,0.000001,all
libcode-tidyall-plugin-yamlfrontmatter-perl,1.000003,all
libcodeblocks0,20.03,amd64
libcodec2-1.0,1.0.1,amd64
libcodec2-1.0,1.0.1,i386
libcodec2-dev,1.0.1,amd64
libcodec2-dev,1.0.1,i386
libcodemodel-java,2.6,all
libcodenarc-groovy-java-doc,0.23,all
libcodenarc-groovy-java,0.23,all
libcodesize-java,1.2,all
libcofoja-java,1.3,all
libcogl-common,1.22.8,all
libcogl-dev,1.22.8,amd64
libcogl-dev,1.22.8,i386
libcogl-doc,1.22.8,all
libcogl-pango-dev,1.22.8,amd64
libcogl-pango-dev,1.22.8,i386
libcogl-pango20,1.22.8,amd64
libcogl-pango20,1.22.8,i386
libcogl-path-dev,1.22.8,amd64
libcogl-path-dev,1.22.8,i386
libcogl-path20,1.22.8,amd64
libcogl-path20,1.22.8,i386
libcogl20,1.22.8,amd64
libcogl20,1.22.8,i386
libcohttp-lwt-jsoo-ocaml-dev,4.0.0,amd64
libcohttp-lwt-jsoo-ocaml,4.0.0,amd64
libcohttp-lwt-ocaml-dev,4.0.0,amd64
libcohttp-lwt-ocaml,4.0.0,amd64
libcohttp-lwt-unix-ocaml-dev,4.0.0,amd64
libcohttp-lwt-unix-ocaml,4.0.0,amd64
libcohttp-ocaml-dev,4.0.0,amd64
libcohttp-ocaml,4.0.0,amd64
libcoin-dev,4.0.0,amd64
libcoin-doc,4.0.0,all
libcoin-runtime,4.0.0,all
libcoin80c,4.0.0,amd64
libcolamd2,5.10.1,amd64
libcollada-dom-dev,2.5.0,amd64
libcollada-dom2.4-dp-dev,2.5.0,all
libcollada-dom2.5-dp0,2.5.0,amd64
libcollada-parser-dev,1.12.13,amd64
libcollada-parser1d,1.12.13,amd64
libcollada-urdf-dev,1.12.13,amd64
libcollada-urdf1d,1.12.13,amd64
libcollada2gltfconvert-dev,20140924,amd64
libcollectdclient-dev,5.12.0,amd64
libcollectdclient1,5.12.0,amd64
libcollection-dev,0.6.2,amd64
libcollection-dev,0.6.2,i386
libcollection4,0.6.2,amd64
libcollection4,0.6.2,i386
libcolor-ansi-util-perl,0.164,all
libcolor-library-perl,0.021,all
libcolor-palette-perl,0.100003,all
libcolor-rgb-util-perl,0.606,all
libcolor-scheme-perl,1.07,all
libcolorcorrect5,5.24.7,amd64
libcolord-dev,1.4.6,amd64
libcolord-dev,1.4.6,i386
libcolord-gtk-dev,0.3.0,amd64
libcolord-gtk1,0.3.0,amd64
libcolord2,1.4.6,amd64
libcolord2,1.4.6,i386
libcolorhug-dev,1.4.6,amd64
libcolorhug-dev,1.4.6,i386
libcolorhug2,1.4.6,amd64
libcolorhug2,1.4.6,i386
libcolorpicker-java-doc,1.0.0,all
libcolorpicker-java,1.0.0,all
libcolpack-dev,1.0.10,amd64
libcolpack0v5,1.0.10,amd64
libcolt-free-java-doc,1.2.0,all
libcolt-free-java,1.2.0,all
libcolumbus1-common,1.1.0,all
libcolumbus1-dev,1.1.0,amd64
libcolumbus1v5,1.1.0,amd64
libcom-dev,7.0.3.1,amd64
libcom-err2,1.46.5,amd64
libcom-err2,1.46.5,i386
libcom-hypirion-io-clojure,0.3.1,all
libcom3.17.6,7.0.3.1,amd64
libcombblas-dev,1.6.2,amd64
libcombblas-docs,1.6.2,all
libcombblas1.16.0,1.6.2,amd64
libcomedi-dev,0.11.0,amd64
libcomedi0,0.11.0,amd64
libcomidi-clojure,0.3.2,all
libcomment-preprocessor-java,6.0.1,all
libcommon-sense-perl,3.75,amd64
libcommoncpp2-dev,1.8.1,amd64
libcommoncpp2-doc,1.8.1,all
libcommonmark-perl,0.290000,amd64
libcommons-beanutils-java-doc,1.9.4,all
libcommons-beanutils-java,1.9.4,all
libcommons-cli-java,1.4,all
libcommons-codec-java-doc,1.15,all
libcommons-codec-java,1.15,all
libcommons-collections3-java-doc,3.2.2,all
libcommons-collections3-java,3.2.2,all
libcommons-collections4-java-doc,4.2,all
libcommons-collections4-java,4.2,all
libcommons-compress-java,1.21,all
libcommons-configuration-java-doc,1.10,all
libcommons-configuration-java,1.10,all
libcommons-configuration2-java-doc,2.7,all
libcommons-configuration2-java,2.7,all
libcommons-csv-java,1.9.0,all
libcommons-daemon-java,1.0.15,all
libcommons-dbcp-java-doc,1.4,all
libcommons-dbcp-java,1.4,all
libcommons-dbcp2-java,2.9.0,all
libcommons-digester-java-doc,1.8.1,all
libcommons-digester-java,1.8.1,all
libcommons-discovery-java,0.5,all
libcommons-el-java,1.0,all
libcommons-email-java,1.5,all
libcommons-exec-java,1.3,all
libcommons-fileupload-java-doc,1.4,all
libcommons-fileupload-java,1.4,all
libcommons-httpclient-java-doc,3.1,all
libcommons-httpclient-java,3.1,all
libcommons-io-java-doc,2.11.0,all
libcommons-io-java,2.11.0,all
libcommons-jci-eclipse-java,1.1,all
libcommons-jci-groovy-java,1.1,all
libcommons-jci-janino-java,1.1,all
libcommons-jci-java,1.1,all
libcommons-jci-rhino-java,1.1,all
libcommons-jexl-java,1.1,all
libcommons-jexl2-java,2.1.1,all
libcommons-jexl3-java,3.1,all
libcommons-jxpath-java-doc,1.3,all
libcommons-jxpath-java,1.3,all
libcommons-lang-java-doc,2.6,all
libcommons-lang-java,2.6,all
libcommons-lang3-java-doc,3.11,all
libcommons-lang3-java,3.11,all
libcommons-logging-java-doc,1.2,all
libcommons-logging-java,1.2,all
libcommons-math-java-doc,2.2,all
libcommons-math-java,2.2,all
libcommons-math3-java-doc,3.6.1,all
libcommons-math3-java,3.6.1,all
libcommons-net-java-doc,3.6,all
libcommons-net-java,3.6,all
libcommons-parent-java,43,all
libcommons-pool-java-doc,1.6,all
libcommons-pool-java,1.6,all
libcommons-pool2-java,2.10.0,all
libcommons-rdf-java,0.5.0,all
libcommons-text-java,1.9,all
libcommons-validator-java-doc,1.6,all
libcommons-validator-java,1.6,all
libcommons-vfs-java-doc,2.1,all
libcommons-vfs-java,2.1,all
libcompfaceg1-dev,1.5.2,amd64
libcompfaceg1,1.5.2,amd64
libcompile-command-annotations-java,1.2.3,all
libcompiler-lexer-perl,0.23,amd64
libcompizconfig0-dev,0.9.14.1,amd64
libcompizconfig0,0.9.14.1,amd64
libcomplete-clojure,0.2.5,all
libcompojure-clojure,1.6.0,all
libcompress-bzip2-perl,2.28,amd64
libcompress-lz4-perl,0.25,amd64
libcompress-lzf-java,1.0.4,all
libcompress-raw-bzip2-perl,2.101,amd64
libcompress-raw-lzma-perl,2.101,amd64
libcompress-raw-zlib-perl,2.101,amd64
libcompress-snappy-perl,0.24,amd64
libcomps-dev,0.1.15,amd64
libcomps-doc,0.1.15,all
libcomps0,0.1.15,amd64
libconcord-dev,1.4,amd64
libconcord5,1.4,amd64
libconcurrent-java-doc,1.3.4,all
libconcurrent-java,1.3.4,all
libconcurrentqueue-dev,1.0.3,all
libconduit-lwt-ocaml-dev,4.0.2,amd64
libconduit-lwt-ocaml,4.0.2,amd64
libconduit-ocaml-dev,4.0.2,amd64
libconduit-ocaml,4.0.2,amd64
libconfig++-dev,1.5,amd64
libconfig++-dev,1.5,i386
libconfig++9v5,1.5,amd64
libconfig++9v5,1.5,i386
libconfig-any-perl,0.32,all
libconfig-apacheformat-perl,1.2,all
libconfig-augeas-perl,1.000,amd64
libconfig-auto-perl,0.44,all
libconfig-autoconf-perl,0.320,all
libconfig-crontab-perl,1.45,all
libconfig-dev,1.5,amd64
libconfig-dev,1.5,i386
libconfig-doc,1.5,all
