package,version,architecture
agda,2.6.1,all
age,1.0.0,amd64
agedu,9723,amd64
agenda.app,0.46,amd64
agent-transfer,0.43,amd64
aggregate,1.6,amd64
aghermann,1.1.2,amd64
aglfn,1.7,all
agordejo,0.3.1,amd64
aha,0.5.1,amd64
ahcpd,0.53,amd64
aide-common,0.17.4,all
aide-dynamic,0.17.4,all
aide-xen,0.17.4,all
aide,0.17.4,amd64
aidl,10.0.0,amd64
aiksaurus,1.2.1,amd64
aiohttp-wsgi-serve,0.8.2,all
air-quality-sensor,0.1.5,amd64
aircrack-ng,1.6,amd64
airgraph-ng,1.6,all
airport-utils,2,all
airspy,1.0.10,amd64
airspyhf,1.6.8,amd64
airstrike-common,0.99,all
airstrike,0.99,amd64
aiscm,0.23.1,amd64
aisleriot,3.22.22,amd64
aj-snapshot,0.9.9,amd64
akira,0.0.16,amd64
akonadi-backend-mysql,21.12.3,all
akonadi-backend-postgresql,21.12.3,all
akonadi-backend-sqlite,21.12.3,amd64
akonadi-import-wizard,21.12.3,amd64
akonadi-server,21.12.3,amd64
akonadiconsole,21.12.3,amd64
akqml,8.8.0,amd64
akregator,21.12.3,amd64
alac-decoder,0.2.0,amd64
alacarte,3.44.1,all
aladin,11.024,all
album-data,4.05,all
album,4.15,all
aldo,0.7.8,amd64
ale,0.9.0.3,amd64
alembic,1.7.6,all
alertmanager-irc-relay,0.4.2,amd64
alevt,1.8.0,amd64
alevtd,3.107,amd64
alex4-data,1.1,all
alex4,1.1,amd64
alex,3.2.5,amd64
alfa,2.1,amd64
alfred,2022.0,amd64
algobox,1.1.0,amd64
algol68g,2.8.4,amd64
algotutor,0.8.6,all
alice,0.19,all
alien-arena-data,7.66,all
alien-arena-server,7.66,amd64
alien-arena,7.66,amd64
alien-hunter,1.7,all
alien,8.95.5,all
alienblaster-data,1.1.0,all
alienblaster,1.1.0,amd64
aliki,0.3.0,amd64
all-knowing-dns,1.7,all
allegro4-doc,4.4.3.1,all
allegro5-doc,5.2.7.0,all
allelecount,4.3.0,amd64
alltray,0.71b,amd64
allure,0.9.5.0,amd64
almanah,0.12.3,amd64
alot-doc,0.10,all
alot,0.10,all
alpine-doc,2.25,all
alpine-pico,2.25,amd64
alpine,2.25,amd64
alqalam,0.2,all
alsa-base,1.0.25,all
alsa-firmware-loaders,1.2.5,amd64
alsa-oss,1.1.8,amd64
alsa-source,1.0.25,all
alsa-tools-gui,1.2.5,amd64
alsa-tools,1.2.5,amd64
